models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,3,4,5,8",0.695,0.785,0.6638655462184874,0.79,0.7214611872146118,0.6950000000000001
"0,3,4,6,8",0.695,0.79,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"0,3,4,6,9",0.695,0.76,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"0,3,5,7,8",0.695,0.785,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"1,3,4,5,9",0.695,0.775,0.6695652173913044,0.77,0.7162790697674418,0.6950000000000001
"1,3,4,7,9",0.695,0.775,0.6585365853658537,0.81,0.726457399103139,0.6950000000000001
"2,3,4,6,7",0.695,0.79,0.6535433070866141,0.83,0.7312775330396476,0.6950000000000001
"2,3,5,6,7",0.695,0.815,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"2,3,7,8,9",0.695,0.785,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"2,4,5,7,8",0.695,0.8,0.6585365853658537,0.81,0.726457399103139,0.6950000000000001
"3,4,5,7,9",0.695,0.74,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"3,4,5,8,9",0.695,0.755,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"3,4,6,7,9",0.695,0.755,0.6585365853658537,0.81,0.726457399103139,0.6950000000000001
"3,5,6,8,9",0.695,0.78,0.6638655462184874,0.79,0.7214611872146118,0.6950000000000001
"4,6,7,8,9",0.695,0.765,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
"1,3,4,7,8",0.695,0.805,0.656,0.82,0.7288888888888889,0.695
"0,1,3,4,8",0.69,0.8,0.6532258064516129,0.81,0.7232142857142857,0.69
"0,1,4,7,8",0.69,0.795,0.6532258064516129,0.81,0.7232142857142857,0.69
"0,3,4,5,9",0.69,0.76,0.6610169491525424,0.78,0.7155963302752294,0.69
"0,3,4,8,9",0.69,0.765,0.6557377049180327,0.8,0.7207207207207207,0.69
"1,3,4,5,7",0.69,0.8,0.6583333333333333,0.79,0.7181818181818181,0.69
"1,3,5,7,8",0.69,0.8,0.6583333333333333,0.79,0.7181818181818181,0.69
"2,3,4,5,7",0.69,0.78,0.6507936507936508,0.82,0.7256637168141593,0.69
"2,3,4,7,8",0.69,0.78,0.6507936507936508,0.82,0.7256637168141593,0.69
"2,3,5,7,8",0.69,0.81,0.6583333333333333,0.79,0.7181818181818181,0.69
"2,3,6,7,8",0.69,0.81,0.6532258064516129,0.81,0.7232142857142857,0.69
"3,4,5,6,7",0.69,0.78,0.6557377049180327,0.8,0.7207207207207207,0.69
"3,4,6,7,8",0.69,0.785,0.6532258064516129,0.81,0.7232142857142857,0.69
"3,4,7,8,9",0.69,0.75,0.6532258064516129,0.81,0.7232142857142857,0.69
"0,1,3,4,5",0.685,0.81,0.6581196581196581,0.77,0.7096774193548387,0.685
"0,3,4,6,7",0.685,0.79,0.648,0.81,0.72,0.685
"0,3,4,7,9",0.685,0.76,0.648,0.81,0.72,0.685
"1,3,4,5,8",0.685,0.79,0.6554621848739496,0.78,0.7123287671232876,0.685
"1,3,4,6,7",0.685,0.805,0.648,0.81,0.72,0.685
"3,6,7,8,9",0.685,0.8,0.6504065040650406,0.8,0.7174887892376681,0.685
