models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,1,3,4,9",0.5666666666666667,0.6,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.5535714285714286
"0,1,4,5,9",0.5666666666666667,0.7,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.5535714285714286
"0,1,5,6,9",0.5666666666666667,0.7,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.5535714285714286
"2,3,4,8,9",0.5666666666666667,0.6,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.5535714285714286
"0,1,3,6,9",0.5666666666666667,0.7,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"0,1,5,8,9",0.5666666666666667,0.7,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"0,2,4,8,9",0.5666666666666667,0.7,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"0,2,6,8,9",0.5666666666666667,0.7,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"0,3,4,5,9",0.5666666666666667,0.6,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"0,6,7,8,9",0.5666666666666667,0.7,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"1,4,5,8,9",0.5666666666666667,0.6,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"4,5,6,7,8",0.5666666666666667,0.7,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5491071428571428
"1,2,4,5,7",0.5333333333333333,0.7,0.5,0.7142857142857143,0.5882352941176471,0.5446428571428572
"0,5,6,8,9",0.5666666666666667,0.6,0.6,0.21428571428571427,0.3157894736842105,0.5446428571428571
"1,3,4,8,9",0.5666666666666667,0.6,0.6,0.21428571428571427,0.3157894736842105,0.5446428571428571
"3,4,5,8,9",0.5666666666666667,0.6,0.6,0.21428571428571427,0.3157894736842105,0.5446428571428571
"0,1,3,5,8",0.5666666666666667,0.6,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.5401785714285714
"0,4,5,6,8",0.5666666666666667,0.6,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.5401785714285714
"1,2,3,5,9",0.5333333333333333,0.8,0.5,0.6428571428571429,0.5625,0.5401785714285714
"1,2,5,7,9",0.5333333333333333,0.7,0.5,0.6428571428571429,0.5625,0.5401785714285714
"1,3,4,6,8",0.5666666666666667,0.7,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.5401785714285714
"2,3,4,7,9",0.5333333333333333,0.8,0.5,0.6428571428571429,0.5625,0.5401785714285714
"0,1,2,3,7",0.5333333333333333,0.7,0.5,0.5714285714285714,0.5333333333333333,0.5357142857142857
"0,2,4,6,7",0.5333333333333333,0.6,0.5,0.5714285714285714,0.5333333333333333,0.5357142857142857
"1,2,3,4,5",0.5333333333333333,0.6,0.5,0.5714285714285714,0.5333333333333333,0.5357142857142857
"1,2,3,7,8",0.5333333333333333,0.6,0.5,0.5714285714285714,0.5333333333333333,0.5357142857142857
"0,1,4,5,7",0.5333333333333333,0.7,0.5,0.5,0.5,0.53125
"0,1,4,7,9",0.5333333333333333,0.6,0.5,0.5,0.5,0.53125
"1,2,7,8,9",0.5333333333333333,0.8,0.5,0.5,0.5,0.53125
"2,4,7,8,9",0.5333333333333333,0.6,0.5,0.5,0.5,0.53125
"0,2,3,4,9",0.5333333333333333,0.7,0.5,0.42857142857142855,0.46153846153846156,0.5267857142857143
"1,3,7,8,9",0.5333333333333333,0.8,0.5,0.42857142857142855,0.46153846153846156,0.5267857142857143
"0,1,2,6,9",0.5333333333333333,0.8,0.5,0.35714285714285715,0.4166666666666667,0.5223214285714286
"0,2,4,6,9",0.5333333333333333,0.7,0.5,0.35714285714285715,0.4166666666666667,0.5223214285714286
"0,2,5,8,9",0.5333333333333333,0.7,0.5,0.35714285714285715,0.4166666666666667,0.5223214285714286
"0,4,6,7,9",0.5333333333333333,0.7,0.5,0.35714285714285715,0.4166666666666667,0.5223214285714286
"1,2,3,8,9",0.5333333333333333,0.7,0.5,0.35714285714285715,0.4166666666666667,0.5223214285714286
"1,4,5,6,9",0.5333333333333333,0.8,0.5,0.35714285714285715,0.4166666666666667,0.5223214285714286
"1,6,7,8,9",0.5333333333333333,0.8,0.5,0.35714285714285715,0.4166666666666667,0.5223214285714286
"0,1,5,7,8",0.5333333333333333,0.8,0.5,0.2857142857142857,0.36363636363636365,0.5178571428571428
"0,1,7,8,9",0.5333333333333333,0.7,0.5,0.2857142857142857,0.36363636363636365,0.5178571428571428
"0,4,7,8,9",0.5333333333333333,0.7,0.5,0.2857142857142857,0.36363636363636365,0.5178571428571428
"1,3,4,6,9",0.5333333333333333,0.7,0.5,0.2857142857142857,0.36363636363636365,0.5178571428571428
"2,4,5,7,9",0.5,0.6,0.47619047619047616,0.7142857142857143,0.5714285714285714,0.5133928571428572
"0,4,5,6,9",0.5333333333333333,0.6,0.5,0.21428571428571427,0.3,0.5133928571428571
"0,1,3,8,9",0.5333333333333333,0.6,0.5,0.14285714285714285,0.2222222222222222,0.5089285714285714
"1,2,4,6,7",0.5,0.7,0.47368421052631576,0.6428571428571429,0.5454545454545454,0.5089285714285714
"3,4,6,8,9",0.5333333333333333,0.6,0.5,0.14285714285714285,0.2222222222222222,0.5089285714285714
"4,5,6,8,9",0.5333333333333333,0.7,0.5,0.14285714285714285,0.2222222222222222,0.5089285714285714
"0,1,4,5,8",0.5333333333333333,0.6,0.5,0.07142857142857142,0.125,0.5044642857142857
"0,1,4,6,8",0.5333333333333333,0.6,0.0,0.0,0.0,0.5
"0,2,3,4,7",0.5,0.8,0.4666666666666667,0.5,0.4827586206896552,0.5
"1,4,5,7,9",0.5,0.7,0.4666666666666667,0.5,0.4827586206896552,0.5
"0,1,2,3,4",0.5,0.6,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"0,1,2,4,5",0.5,0.7,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"0,1,2,4,6",0.5,0.7,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"0,1,2,5,9",0.5,0.8,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"0,1,2,7,8",0.5,0.8,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"0,1,4,6,7",0.5,0.7,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"0,2,4,5,9",0.5,0.7,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"1,2,5,8,9",0.5,0.8,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.4955357142857143
"1,4,5,7,8",0.5,0.6,0.45454545454545453,0.35714285714285715,0.4,0.4910714285714286
"2,4,5,8,9",0.5,0.7,0.45454545454545453,0.35714285714285715,0.4,0.4910714285714286
"1,2,3,4,8",0.5,0.6,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.48660714285714285
"1,2,4,8,9",0.5,0.5,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.48660714285714285
"1,2,6,8,9",0.5,0.8,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.48660714285714285
"0,1,2,4,8",0.5,0.5,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.48214285714285715
"0,1,2,5,8",0.5,0.8,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.48214285714285715
"0,1,2,6,8",0.5,0.8,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.48214285714285715
"0,1,2,8,9",0.5,0.7,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.48214285714285715
"0,1,4,5,6",0.5,0.7,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.48214285714285715
"0,1,4,6,9",0.5,0.7,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.48214285714285715
"0,1,6,7,8",0.5,0.8,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.48214285714285715
"0,1,5,6,8",0.5,0.7,0.4,0.14285714285714285,0.21052631578947367,0.4776785714285714
"0,1,6,8,9",0.5,0.7,0.4,0.14285714285714285,0.21052631578947367,0.4776785714285714
"2,4,6,8,9",0.5,0.7,0.4,0.14285714285714285,0.21052631578947367,0.4776785714285714
"4,6,7,8,9",0.5,0.7,0.4,0.14285714285714285,0.21052631578947367,0.4776785714285714
"1,2,4,7,9",0.4666666666666667,0.8,0.4444444444444444,0.5714285714285714,0.5,0.4732142857142857
"1,3,4,5,7",0.4666666666666667,0.7,0.4444444444444444,0.5714285714285714,0.5,0.4732142857142857
"1,4,6,8,9",0.5,0.6,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.4732142857142857
"0,1,2,4,7",0.4666666666666667,0.8,0.4375,0.5,0.4666666666666667,0.46875
"1,2,4,5,9",0.4666666666666667,0.7,0.4375,0.5,0.4666666666666667,0.46875
