,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"18,6,13,10,15,7,16,18,17,21,12,8,11,9,7",0.605,0.84,0.6637500000000001,0.5777777777777777,0.78,0.6638297872340425,0.605,6.754198312759399
0,"13,14,13,12,12,12,16,4,16,6,17,19,15,10,2",0.595,0.87,0.66375,0.5887850467289719,0.63,0.6086956521739131,0.595,9.681718826293945
0,"19,16,17,13,13,18,16,6,13,21,12,9,11,8,5",0.58,0.91,0.6625000000000001,0.5571428571428572,0.78,0.65,0.5800000000000001,21.749654293060303
0,"14,16,14,18,4,12,19,3,13,19,15,6,16,8,0",0.63,0.74,0.6575,0.63,0.63,0.63,0.63,4.836350917816162
0,"15,14,5,4,4,12,19,9,16,19,4,0,16,10,13",0.6,0.82,0.655,0.6111111111111112,0.55,0.5789473684210527,0.6000000000000001,5.496017217636108
0,"13,14,15,12,22,12,16,13,13,6,18,19,15,10,2",0.6,0.82,0.655,0.6388888888888888,0.46,0.5348837209302325,0.6,8.527571678161621
0,"13,14,15,12,22,12,16,13,16,6,17,19,15,10,5",0.605,0.8,0.65375,0.5981308411214953,0.64,0.6183574879227053,0.605,5.651320934295654
0,"19,15,16,11,19,19,4,0,11,0,8,5,5,0,11",0.585,0.86,0.65375,0.5578231292517006,0.82,0.6639676113360324,0.585,12.969521045684814
0,"13,15,16,11,4,19,4,0,13,0,8,5,8,22,11",0.595,0.83,0.65375,0.5979381443298969,0.58,0.5888324873096447,0.595,4.088921070098877
0,"18,18,14,17,15,13,14,18,13,11,4,15,10,9,10",0.585,0.86,0.6537499999999999,0.5521472392638037,0.9,0.6844106463878327,0.585,9.261527061462402
0,"13,15,16,11,5,19,4,0,11,0,8,5,20,0,11",0.615,0.76,0.65125,0.5905511811023622,0.75,0.6607929515418502,0.615,4.209262132644653
0,"19,15,17,13,13,18,16,6,13,21,2,11,11,8,5",0.605,0.77,0.64625,0.5882352941176471,0.7,0.639269406392694,0.605,7.364285469055176
0,"19,10,17,13,13,18,15,6,19,5,5,11,3,8,5",0.58,0.84,0.645,0.5625,0.72,0.631578947368421,0.58,6.757033824920654
0,"19,12,17,13,13,18,15,6,19,5,10,11,3,10,5",0.56,0.89,0.6424999999999998,0.546875,0.7,0.6140350877192983,0.5599999999999999,9.70657753944397
0,"18,6,6,16,20,12,3,9,13,15,0,12,0,9,10",0.59,0.79,0.6400000000000001,0.5833333333333334,0.63,0.6057692307692307,0.5900000000000001,5.34593391418457
0,"13,12,12,11,5,13,18,0,11,6,17,10,12,0,11",0.62,0.69,0.6375,0.5821917808219178,0.85,0.6910569105691057,0.62,3.9456684589385986
0,"13,15,16,11,5,19,4,0,13,0,8,5,20,0,11",0.615,0.69,0.63375,0.5688622754491018,0.95,0.7116104868913857,0.615,3.8620221614837646
0,"18,6,13,10,15,16,16,18,17,21,12,8,3,9,7",0.565,0.84,0.63375,0.5467625899280576,0.76,0.6359832635983264,0.565,8.33025050163269
0,"18,6,13,10,15,16,16,18,17,21,12,8,11,9,7",0.575,0.81,0.63375,0.5517241379310345,0.8,0.6530612244897959,0.575,6.4068992137908936
0,"19,15,16,11,19,19,4,0,11,14,8,5,5,0,11",0.56,0.85,0.6325000000000001,0.5517241379310345,0.64,0.5925925925925926,0.56,12.60746955871582
0,"19,15,16,11,19,19,4,5,11,0,8,5,20,0,12",0.57,0.81,0.6300000000000001,0.5686274509803921,0.58,0.5742574257425742,0.5700000000000001,11.432621717453003
0,"19,16,17,13,6,22,15,19,13,5,2,11,3,12,22",0.56,0.82,0.625,0.538961038961039,0.83,0.6535433070866141,0.5599999999999999,7.620102643966675
0,"18,6,18,10,15,7,16,18,17,21,12,8,11,9,7",0.55,0.85,0.625,0.5378787878787878,0.71,0.6120689655172413,0.55,7.798544406890869
0,"19,10,17,13,13,18,15,6,19,10,5,11,3,10,5",0.555,0.83,0.62375,0.5369127516778524,0.8,0.642570281124498,0.555,6.862778425216675
0,"4,14,18,4,13,12,9,2,13,17,15,0,22,10,12",0.59,0.72,0.6225,0.5511363636363636,0.97,0.7028985507246377,0.59,4.544709205627441
0,"19,16,16,19,5,19,4,0,13,0,8,5,20,0,0",0.59,0.72,0.6225,0.5918367346938775,0.58,0.5858585858585859,0.59,11.212388277053833
0,"13,15,16,19,5,19,4,0,13,0,8,5,20,0,0",0.56,0.81,0.6225,0.5535714285714286,0.62,0.5849056603773585,0.56,9.573659420013428
0,"13,14,15,15,22,12,16,12,16,6,18,19,15,10,5",0.54,0.87,0.6225,0.5625,0.36,0.43902439024390244,0.54,14.506885766983032
0,"18,18,13,10,15,13,14,18,5,11,6,15,10,8,10",0.545,0.85,0.62125,0.5428571428571428,0.57,0.5560975609756098,0.5449999999999999,6.52113938331604
0,"18,18,6,10,15,13,14,18,13,11,6,12,0,9,10",0.54,0.86,0.62,0.55,0.44,0.4888888888888889,0.54,7.84246301651001
0,"19,10,17,13,13,18,15,6,19,5,5,11,3,10,5",0.54,0.85,0.6175,0.527027027027027,0.78,0.6290322580645161,0.54,6.897024631500244
0,"19,19,15,6,22,3,12,12,13,6,17,19,8,12,20",0.62,0.61,0.6174999999999999,0.7727272727272727,0.34,0.4722222222222222,0.62,11.937782287597656
0,"19,12,17,13,13,18,15,6,19,16,10,11,3,8,5",0.535,0.85,0.61375,0.5231788079470199,0.79,0.6294820717131474,0.535,10.062606573104858
